Start Timestamp,End Timestamp,Dialogue
"00:12:14,252","00:12:15,987",You will fall out of balance.
"00:12:16,187","00:12:18,228",Split the differential.. and tip the fuck over.
"00:12:18,428","00:12:19,428","Or, worse shit."
"00:12:19,628","00:12:21,480",I've seen this happen.. Implode.
"00:12:21,680","00:12:24,547","No, I don't wanna implode sir. - No, you don't."
"00:12:24,747","00:12:25,747",I'm in it for the long run. You know?
"00:12:25,947","00:12:27,797","Yeah, implosions are ugly. - Yeah."
"00:12:27,964","00:12:29,964","Pop off to the bathroom, work on it anytime you can."
"00:12:30,164","00:12:31,164","And, when you get really good at it."
"00:12:31,293","00:12:33,645","You'll fucking be stroking it. And, you'll be thinking about money."
"00:12:35,329","00:12:38,433",Second..key to sucess.
"00:12:38,633","00:12:41,986","In this racket, Is this baby right here. It's called cocaine."
"00:12:43,553","00:12:45,466","It will keep you sharp, between the ears."
"00:12:45,666","00:12:48,628","It will also help your fingers dial faster. And, guess what?"
"00:12:48,828","00:12:49,828",That's good for me.
"00:12:51,427","00:12:53,561","Yes, sir."
"00:12:53,761","00:12:55,367",Revolutions. You follow?
"00:12:55,567","00:12:58,548",Revolutions. - Keep the client on the ferris wheel.
"00:12:58,748","00:13:01,784","And, it goes..the park is open. 24/7..365."
"00:13:01,984","00:13:04,843",Every decade..every goddamn century.
"00:13:05,043","00:13:06,043",That's it.
"00:13:06,928","00:13:08,667",The name of the game.
"00:13:09,667","00:13:11,665",I'll key the key.
"00:13:11,865","00:13:12,865",Thank you.
"00:13:31,127","00:13:32,392",We are common denominator.
"00:13:41,870","00:13:42,975",Keep that for me.
"00:13:58,000","00:14:00,568",For the next six months I got to know the 'ins' and 'out' of Wall Street.
"00:14:01,516","00:14:04,834","Earning shit money, as I geare up to take my Series 7."
"00:14:20,224","00:14:21,903","Then, I was a license broker at last."
"00:14:23,317","00:14:24,454",Ready to make my fortune.
"00:14:25,317","00:14:28,869",My first day as a future Master of the Universe.
"00:14:47,255","00:14:48,527",They called it <i>Black Monday</i>.
"00:14:49,343","00:14:50,458",No shit.
"00:14:50,658","00:14:55,016","By four p.m. the market had dropped 508 points,"
"00:14:55,170","00:14:58,175","the biggest plummet, since the crash of ‘29."
"00:15:04,791","00:15:07,098","This is not something, that you wanna sell."
"00:15:07,298","00:15:08,298",You know what happened? A fucking Tsunami.
"00:15:08,498","00:15:09,498",I think you're making a big mistake.
"00:15:09,698","00:15:13,133","Yes, I will talk to your wife. - Trust me. Do not answer the phone."
"00:15:13,369","00:15:16,924",A lot of people are gonna be calling you. Trying you to get your dirty laundry.
"00:15:29,002","00:15:30,353",Holy.
"00:15:32,707","00:15:34,606",Fucking..Shit!
"00:15:35,730","00:15:37,707",Unbelievable!
"00:15:37,907","00:15:39,775",My first shitty day as a broker.
"00:15:39,975","00:15:40,975","Within a month,"
"00:15:41,175","00:15:45,174","L.F. Rothschild, an institution since 1899,"
"00:15:45,374","00:15:46,716",..closed its doors.
"00:15:47,401","00:15:49,243",Wall street had swallowed me up.
"00:15:49,443","00:15:52,472","And, shit me right back out again."
"00:15:55,599","00:15:57,591",We could pawn my engagement ring. If we needed to.
"00:15:57,791","00:15:58,791","Cos, I don't mind."
"00:15:58,991","00:16:01,600","If we needed to, I'm saying i'm okay. - Will you listen to me."
"00:16:02,504","00:16:04,455",We’re not pawning anything. Okay?
"00:16:05,097","00:16:06,873",What'd I always tell you? - You're gonna be a millionaire.
"00:16:07,073","00:16:08,073","That's right, okay?"
"00:16:08,273","00:16:11,075",Let me look.. We'll find something.
"00:16:11,275","00:16:12,275",How about this? - What?
"00:16:12,475","00:16:15,248",- “Nobody Beats the Wiz”. Electronic store.
