IMDB ID,Start Timestamp,End Timestamp,Dialogue
The.Avengers,"00:13:58,794","00:14:00,418",I'm in the middle of an interrogation.
The.Avengers,"00:14:00,587","00:14:02,379",This moron is giving me everything.
The.Avengers,"00:14:02,798","00:14:05,419",I don't give everything.
The.Avengers,"00:14:06,844","00:14:08,219","Look, you can't pull me out of this right now."
The.Avengers,"00:14:08,345","00:14:09,341",<i>Natasha...</i>
The.Avengers,"00:14:10,931","00:14:12,426",Barton's been compromised.
The.Avengers,"00:14:15,644","00:14:17,471",Let me put you on hold.
The.Avengers,"00:14:59,231","00:15:00,227",Where is Barton now?
The.Avengers,"00:15:00,399","00:15:01,893",<i>- We don't know. - But he's alive?</i>
The.Avengers,"00:15:02,109","00:15:04,896",We think so. I'll brief you on everything when you get back.
The.Avengers,"00:15:05,154","00:15:07,194","But first, we need you to talk to the big guy."
The.Avengers,"00:15:07,406","00:15:10,490","Coulson, you know that Stark trusts me about as far as he can throw me."
The.Avengers,"00:15:10,701","00:15:14,200",I've got Stark. You get the big guy.
The.Avengers,"00:15:44,235","00:15:45,231",You're a doctor.
The.Avengers,"00:16:02,546","00:16:03,791",Please.
The.Avengers,"00:16:30,992","00:16:33,281","You should've got paid up front, Banner."
The.Avengers,"00:16:33,494","00:16:34,775","You know, for a man"
The.Avengers,"00:16:34,913","00:16:36,193",who's supposed to be avoiding stress
The.Avengers,"00:16:36,414","00:16:39,665",you picked a hell of a place to settle.
The.Avengers,"00:16:41,420","00:16:43,626",Avoiding stress isn't the secret.
The.Avengers,"00:16:43,839","00:16:46,330",Then what is it? Yoga?
The.Avengers,"00:16:47,509","00:16:50,676",You brought me to the edge of the city. Smart.
The.Avengers,"00:16:51,263","00:16:55,308",I assume the whole place is surrounded.
The.Avengers,"00:16:55,768","00:16:57,143",Just you and me.
The.Avengers,"00:16:58,395","00:17:00,435",And your actress buddy?
The.Avengers,"00:17:00,647","00:17:02,605","Is she a spy, too? They start that young?"
The.Avengers,"00:17:03,025","00:17:04,270",I did.
The.Avengers,"00:17:04,485","00:17:05,516",Who are you?
The.Avengers,"00:17:05,736","00:17:06,851",Natasha Romanoff.
The.Avengers,"00:17:10,199","00:17:11,528","Are you here to kill me, Ms Romanoff?"
The.Avengers,"00:17:11,743","00:17:14,448",Because that's not going to work out for everyone.
The.Avengers,"00:17:14,662","00:17:17,118","No, of course not. I'm here on behalf of S.H.I.E.L.D."
The.Avengers,"00:17:18,875","00:17:20,369",S.H.I.E.L.D.
The.Avengers,"00:17:22,170","00:17:23,165",How did they find me?
The.Avengers,"00:17:23,337","00:17:24,962","We never lost you, Doctor."
